序號,門,綱,目,科,屬,中名,性狀簡述,分布簡述
1182,木蘭植物門,木蘭綱,蓼目,蓼科,蓼屬,扛板歸,"莖蔓藤狀，具倒鉤刺。葉盾狀三角形，下表面中脈具倒鉤刺。葉鞘水平狀擴張，光滑無緣毛。花序單枝穗狀。花被花後呈藍紫色肉質狀。瘦果橢圓球形。 莖蔓藤狀，具倒鉤刺。葉盾狀三角形，下表面中脈具倒鉤刺。花序單枝穗狀。花被花後呈藍紫色肉質狀。瘦果橢圓球形。",全島平地至中海拔地區普遍分布。
1183,木蘭植物門,木蘭綱,蓼目,蓼科,蓼屬,八字蓼,"莖具短粗毛及腺點。葉披針形，兩面具短毛，下表面具腺點；葉鞘管狀，具緣毛。花序長穗狀，小花排列疏鬆。花被具腺點，花白色，結果期紅色。 一年生濕生草本植物，高約50至130公分，莖光滑，直立。葉互生，卵狀披針形，長2至9公分，寬1至3公分，有柄。花1或2朵一束，穗狀花序，頂生或腋生，花序細長下垂；花被5裂，粉紅或白色；雄蕊6或7枚，雌蕊柱頭3裂。瘦果黑褐色，三角狀，有稜，長2.5公釐。",台灣各地農田濕地或湖泊水邊。
1184,木蘭植物門,木蘭綱,蓼目,蓼科,蓼屬,散血丹,"莖光滑，關節處具倒生柔毛。葉卵狀，基部羽裂狀；葉柄具翼；葉鞘管狀，無緣毛，光滑或具疏毛。花序頭狀。瘦果三稜形。 多年生草本，莖柔弱，斜上或匍匐生長，常聚集成群。葉近似三角形，花為頂生     頭狀花序，白或粉紅色，6~8月為開花期。性喜透光佳而略潮溼之地，可於山溝     或路旁潮溼之處見之。冬季枯萎。",中央山脈高海拔山區，草生地、路邊。
1185,木蘭植物門,木蘭綱,蓼目,蓼科,酸模屬,小酸模,"具根莖。基生葉戟形，長2-6 cm，寬4-20 mm，酸味。花單性，花被片常帶紅色；果時宿存花被片平滑。 多年生蔓性草本，花單性，雌雄異株。花莖由葉腋抽出，直立多分枝，上著紅黃     色小花，花期約6~9月，冬季乾枯。性喜陽光充足的草生地或稍有土層處，合歡     山區於海拔2800~3000 m左右可見之。",全省具酸性土之平野歸化雜草。
1186,木蘭植物門,木蘭綱,蓼目,蓼科,酸模屬,羊蹄,"葉基心形，內層花被綠白色，果期細齒牙緣。 多年生；莖直立，高50~100cm。根出葉具長柄，鈍頭圓基，波狀緣，莖葉幾無柄。花微綠白且數量多，漸向頂端密輪生。果實闊卵形，褐色，有光澤。",常見於台灣中、北部低海拔之海邊、路旁及荒廢地。
1187,木蘭植物門,木蘭綱,蕁麻目,桑科,柘樹屬,柘樹,"聚合果徑約2 cm，熟時黃色，其餘特徵如屬。",分佈低海拔。
1188,木蘭植物門,木蘭綱,蕁麻目,桑科,桑屬,小桑樹,"中型喬木或灌木。葉卵形，膜質，先端尾尖，基部圓或心形，尖鋸齒緣，有時微裂，長達15 cm，寬6-9 cm，兩面近光滑或被疏軟毛，葉柄長1-2 cm。雄花序長1.5-3 cm；雌花序長2-2.5 cm。",全島中低海拔地區分佈。
1189,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,牛奶榕,"落葉灌木或小喬木。葉紙質，被絨毛，形狀變化大，先端銳尖或尾尖，3出脈，側脈5-10對。雌雄異株；雄花多數。隱花果寬1.5-2.5 cm，黃紅或橘紅。以前曾記錄本省有假枇杷(Ficus erecta var. erecta )，該種的葉光滑。本文對於該種是否存在台灣甚感懷疑，故暫刪除之。  灌木或小喬木；小枝、葉面、葉柄有毛。葉變化大，橢圓形或菱形狀長橢圓形，長15~20cm，有波緣。果腋生，球形，徑1.5~2.5cm，熟時橙紅色，有粗毛。",全省中低海拔。
1190,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,九重吹,"常綠中喬木。葉倒披針形至長橢圓形，先端銳尖，基部楔形或鈍，3出脈，側脈8-11對，柄長1.5-2.5 cm。雌雄同株。隱花果寬1-1.2 cm，熟時黃或紅棕色。",全省低海拔。
1191,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,黃毛榕,"大喬木，枝條密被黃褐色長毛。葉厚紙質，3-5淺裂或不分裂，鋸齒緣，長11-17 cm，寬8-15 cm，掌狀脈5-7條。雌雄異株。隱花果徑1.5cm，集中於枝先端的葉腋，柄短，密被長毛。",僅發現於屏東縣多納林道、尾寮山、大津瀑布、及沙溪林道一帶。
1192,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,蔓榕,"常綠灌木或小喬木。葉倒卵狀橢圓形，先端圓鈍或銳，全緣，3出脈。雌雄異株。隱花果倒卵形，寬1.2cm，被短柔毛，熟時暗紅或鐵鏽色，柄長2-3 cm。",東部、蘭嶼及綠島等濱海地區。
1193,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,黃果豬母乳,"小或中喬木。葉長橢圓形或倒卵形，上表面近光滑，下表面被褐色粗毛，長10-20 cm，寬4-8 cm。雌雄異株。隱花果密生於幹基部，或分散在枝條；小花花被片紫紅色。以前記載台灣有豬母乳(Ficus fistulosa Reinw. ex Bl.)，但待進一步確認。",全省低海拔的闊葉林中，尤其集中在蔭暗的林下或水份含量較高的溪谷。
1194,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,綠島榕,"灌木或小喬木，小枝被褐毛。葉橢圓形，先端短尖，基部銳尖，3出脈，側脈5-7對。雌雄同株。隱花果徑約1.5 cm，熟時黃綠。",分佈於蘭嶼、綠島之闊葉林中。
1195,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,垂榕,"大喬木，具下垂氣根形成之樹幹。葉橢圓或闊橢圓形，先端尾狀，側脈多數，平行。雌雄同株。隱花果腋生，無柄，徑寬1-1.5 cm，熟時黃紅。",全省中低海拔地區，多集中恆春半島、蘭嶼及綠島。
1196,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,大葉雀榕,"纏繞植物，可成大喬木，具氣生根。葉長橢圓形，長15-20 cm，側脈9-10對，柄長2-4 cm。雌雄同株。隱花果0.5-0.8 cm，柄長0.5-.07 cm。",分佈於低海拔地區。
1197,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,榕樹,"常綠大喬木，具下垂氣生根，觸地可形成樹幹。葉革質，光滑，倒卵形或橢圓形，全緣，先端漸尖或銳尖，基部楔形。雌雄同株。隱花果腋生，寬0.5-1 cm，熟時紅或紫黑，無柄。",全省中低海拔廣泛分佈。
1198,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,越橘葉蔓榕,"匍匐藤本，節間處常發生不定根。葉厚紙質，倒卵狀橢圓形，兩面疏被毛，長0.6-3 cm。雌雄異株。隱花果被毛，寬0.6-1 cm，殆無柄。",分佈地區從中海拔到低海拔的開闊地、河床、及林緣地帶。
1199,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,對葉榕,"灌木或小樹。葉厚紙質，兩面粗糙，先端銳尖或具短尾，基部歪斜，3出脈，波狀緣或鋸齒緣。雌雄異株。果徑0.8-1.5 cm，熟時橘紅帶有黃白色腺點。",蘭嶼、綠島濱海地區，數量較多。
1200,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,鈍葉毛果榕,攀緣灌木。葉闊卵形或闊長橢圓形，先端鈍或圓，基部圓或心形，3-5出脈。雌雄異株。隱花果圓或倒圓錐形，寬1.5-2cm，被絨毛，熟時橘紅色。,常見於溪谷兩側，或臨海的山脊稜線上。
1201,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,山豬枷,攀緣性灌木。葉革質，橢圓形或卵狀長橢圓形，葉基部歪斜，葉表面被短剛毛，但有時脫落，呈近光滑。雌雄異株。隱花果表面粗糙，寬0.8-1.2cm，熟時黃紅或橘紅。,南部、東部、蘭嶼及綠島等濱海之珊瑚礁岩上。
1202,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,濱榕,蔓性或匍匐小灌木。葉形變化大，披針形、菱形、倒卵形、小提琴形均有，有時具疏鋸齒緣，先端漸尖或銳尖。雌雄異株。隱花果近梨形，寬0.8-1cm，熟時淡褐色。,全省低海拔地區。
1203,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,大冇榕,喬木。葉闊卵形至橢圓形，光滑。雌雄異株。隱花果扁球形，表面有稜及白色斑點，熟時黃綠色。,分布於低海拔地區。
1204,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,厚葉榕,"蔓性灌木。氣生根少或無。葉倒卵形、寬倒卵形或橢圓形，先端多圓或鈍，有時短銳尖。過去曾有var. oluangpiensis Liao, var. fuyuensis Liao及var. pusillifolia Liao三個變種之報導，目前暫合併到厚葉榕中，不另作處理。",恆春及蘭嶼濱海的岩石上。
1205,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,榕樹,"常綠大喬木，具下垂氣生根，觸地可形成樹幹。葉革質，光滑，倒卵形或橢圓形，全緣，先端漸尖或銳尖，基部楔形。雌雄同株。隱花果腋生，寬0.5-1 cm，熟時紅或紫黑，無柄。",全省中低海拔廣泛分佈。
1206,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,島榕,"灌木或喬木。葉卵狀橢圓或長卵形，先端漸尖或具短尾，基部歪斜。雌雄異株。隱花果寬0.8-1 cm，熟時紅褐色。陰暗處的葉形呈長橢圓披針形，甚長。",全省中、低海拔地區及蘭嶼、綠島。
1207,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,愛玉子,"本種與薜荔之區別在本種之隱花果為闊橢圓或長倒卵形，長6-8cm。 常綠攀緣藤本，常可見到附生於大樹或岩石上。葉為革質，背面有毛。隱花果腋生，外表暗綠色具有白色斑點。本種植物最為人所知的是它的小瘦果含膠質，為高經濟產值的農產品。","生育地海拔高。中央山脈1,000－2,000公尺山區。"
1208,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,天仙果,"小灌木。 葉薄紙質或膜質， 全緣，有時具疏牙齒緣。雌雄異株，少數同株。隱花果卵形，兩端漸尖，表面具白斑，基部延長至苞片，形成短的假花梗。",全省低海拔闊葉林中。
1209,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,薜荔,"攀緣藤本。葉革質，卵形至橢圓形，先端鈍，側脈5對。雌雄異株。隱花果呈倒圓錐球形，寬4 cm，上半部有白色斑點，熟時暗紫色。攀緣藤本。葉革質，卵形至橢圓形，先端鈍，側脈5對。雌雄異株。隱花果呈倒圓錐球形，寬4 cm，上半部有白色斑點，熟時暗紫色。",全省低海拔地區。全省低海拔地區。
1210,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,澀葉榕,"常綠喬木。葉厚紙質，兩面密被粗糙毛，橢圓形或長卵形，3出脈，側脈5-6對，基部明顯歪斜。雌雄異株。果寬0.8-1.2 cm，紅色，有黃色斑點，有柄。",全省中低海拔地區。
1211,木蘭植物門,木蘭綱,蕁麻目,桑科,榕屬,尖尾長葉榕,"蔓性小灌木或小喬木。葉披針狀橢圓形，先端尾尖，長10-25 cm，寬4-6 cm，側脈7-11對。雌雄異株。隱花果寬0.8-1.2cm，熟時橙紅色。",分佈蘭嶼之林中，另外南仁山也有少數。
1212,木蘭植物門,木蘭綱,蕁麻目,桑科,構樹屬,構樹,落葉中喬木。葉鋸齒緣，裂或不裂。雌雄異株。,全省中低海拔地區均可發現。
1213,木蘭植物門,木蘭綱,蕁麻目,桑科,盤龍木屬,盤龍木,"莖粗糙，葉具短柄，長橢圓形或倒卵狀橢圓形，長6-9 cm，寬2-3 cm，側脈5-7對。果橢圓形。",全省低海拔之森林中。
1214,木蘭植物門,木蘭綱,蕁麻目,榆科,山黃麻屬,山黃麻,"喬木；小枝與葉下表面密生絨毛和綿毛。 大喬木。小枝有短柔毛。幹皮光滑。葉卵形，頭尖腳鈍，有細齒。核果徑3mm，黑熟。",產臺灣全島海拔500m以下山麓或崩塌區。
1215,木蘭植物門,木蘭綱,蕁麻目,榆科,朴屬,朴樹,落葉喬木；小枝暗褐色，密被毛，成熟後漸光滑。葉闊卵形，卵形至長橢圓形，下表面密被柔毛及紅褐色多細胞毛。,全島低至中海拔地區。
1216,木蘭植物門,木蘭綱,蕁麻目,榆科,櫸屬,櫸木,"大喬木。葉卵形、橢圓狀卵形、或橢圓形，長2-7.5 cm，基部略歪。核果表面有不規則突起之網紋。 落葉大喬木，幹皮灰褐色，呈片狀剝落，有雲形剝落痕。葉厚紙質，長卵形，長3~10cm，先端漸尖，基部圓形，表面粗糙，單鋸齒緣。花與新葉同開，單性。核果幾無梗，斜卵狀圓錐形，底徑約3mm。產台灣全島300~1000m山區，亦分布大陸、日本、韓國，為闊葉樹種最優良木材之一。",中南部低至中海拔山區。
1217,木蘭植物門,木蘭綱,蕁麻目,蕁麻科,咬人狗屬,咬人狗,"喬木；樹皮粗糙，具明顯皮孔。葉卵形、卵狀長橢圓形至倒卵狀長橢圓形，長達55 cm，寬達27 cm；葉柄長5-18 cm。花序分枝淡紅綠色；雌花序苞片線形，較大的具有一中肋。",分布本島低海拔及綠島。
1218,木蘭植物門,木蘭綱,蕁麻目,蕁麻科,樓梯草屬,裂葉樓梯草,"莖半圓柱形，具縱溝，沿溝緣各有一列反捲毛。葉膜質至紙質，上表面有稀疏粗毛，下表面無毛，歪長橢圓形或倒卵形；托葉宿存。雄花序常呈團繖花序，偶聚繖狀團繖花序，苞片2枚，不完全癒合。雌花1，苞片2，基部癒合。 多年生小草本，莖纖細，一面凹陷，匍匐生長，全株披褐柔毛。單葉，互生，先     端多三淺裂。5~7月開花，雄花序1~6朵，白色；雌花序通常1朵。性喜陰溼，     台灣冷杉林下近溪邊之處或山谷溪溝常可見之。",特產中高海拔地區。
1219,木蘭植物門,木蘭綱,蕁麻目,蕁麻科,石薯屬,糯米團,"蔓性小灌木或草本。葉倒卵、倒卵狀披針、卵至披針形，長2-12.8 cm，寬0.7-3.8 cm，先端銳尖至漸尖，基部圓至心形。 多年生草本或亞灌叢，具地下走莖。相鄰兩節的葉子呈十字對生，披針形，長6至10公分，寬1至2公分。花黃白色，自葉腋處生出。",普遍生於全島低至中海拔地區。
1220,木蘭植物門,木蘭綱,蕁麻目,蕁麻科,苧麻屬,長葉苧麻,"灌木，高達3 m；小枝漸無毛，具貼伏毛。葉對生，卵形至披針形，長6.5-24 cm，寬2.5-9 cm，先端漸尖，細鈍齒緣至細鋸齒緣，葉基心形；葉柄長1.5-8.5 cm；托葉披針形，長5-12 m。雌花序圓錐狀。",特產於低海拔地區。
1221,木蘭植物門,木蘭綱,蕁麻目,蕁麻科,蕁麻屬,台灣蕁麻,"直立草本，具刺毛。葉兩面均具刺毛及密柔毛，卵形至卵狀披針形，長達6 cm，寬達4 cm，先端銳尖至漸尖，鋸齒緣，基部寬楔形至淺心形。花序雌雄花混生。  直立草本，全株具刺毛，少分枝。葉互生，單鋸齒緣。花雌雄同序，於6~8月開花，9月後結果，紫褐色。性喜陽光，合歡山區於克難關及合歡山莊附近路旁之草叢中偶可見之。",特產台灣中部高海拔地區。
1222,木蘭植物門,木蘭綱,蕁麻目,蕁麻科,蕁麻屬,蕁麻,"多年生草本，莖直立，可達1.3 m，具刺毛。葉兩面具刺毛及密柔毛，寬而扁縮的卵形至卵形，長6-13 cm，寬5.5-12 cm，先端銳尖、漸尖或突尖，重鋸齒緣，基部心形。花序單性，總狀；雄花序位於較下部的莖上。 多年生冬枯草本，全株具刺毛(焮毛)，皮膚觸之會有刺痛感。葉對生，重鋸齒緣。 花序淡綠色至淡紅紫色，於6~8月抽出，雄花序較長，生於莖之下半部，雌花序則生於莖之上半部。性喜透光佳陰涼略潮溼之處，於山谷溪溝或林緣可見之。",產於全島低至高海拔地區。性喜透光佳陰涼略潮溼之處，於山谷溪溝或林緣可見之。
1223,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,星果佛甲草,"一年生草本。葉互生，匙形，肉質，全緣，長10-30 mm，寬5-12 mm，葉尖銳形，葉基漸狹至窄楔形。花黃色，聚繖花序；萼片不等長。果實平展；種子白色。",全島中低海拔山區。
1224,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,珠芽佛甲草,"二年生草本。葉互生，匙形，肉質，全緣，長10-15 mm，寬2-4 mm，葉尖狹漸尖，葉基楔形，葉腋具珠芽。花黃色，聚繖花序；萼片不等長。歸化種。",中部中海拔山區。
1225,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,杉葉佛甲草,"多年生草本，常具根莖。葉密集互生，匙形，肉質，全緣，長10-15 mm，寬 2-3 mm，葉尖狹漸尖，葉基窄楔形。花黃色，聚繖花序；萼片不等長。果實平展。",全島中高海拔山區岩石處。
1226,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,大葉火焰草,"一年生草本，葉互生至對生，卵形，膜狀肉質，被腺毛，全緣，長15-20 mm，寬10-15 mm，葉尖銳狀，葉基漸狹成柄狀。花白色，聚繖花序；萼片不等長。果實直立，種子棕色。",北部烏來山區。
1227,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,紅子佛甲草,"一年生草本，葉多為對生，偶有近輪生及互生，匙形，肉質，全緣，長7-12 mm，寬3-6 mm，葉尖銳狀，葉基楔形。花黃色，聚繖花序；萼片不等長。果實斜上，種子紅色。",全島高海拔山區。
1228,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,台灣佛甲草,"一年生草本，葉互生，匙形，肉質，全緣，長10-15 mm，寬7-12 mm，葉尖銳狀，葉基楔形。花黃色，聚繖花序；萼片不等長。果實直立。",全島海邊岩石。
1229,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,松葉佛甲草,"多年生草本。葉四葉輪生於不孕枝，輪生至互生於孕枝，常密集；葉線狀披針形，肉質，圓柱狀，全緣，長5-20 mm，寬1-3 mm，葉尖漸尖，葉基窄楔形。花黃色，聚繖花序；萼片不等長。果實直立。",北部山野，原生或歸化。
1230,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,小萼佛甲草,"葉互生，橢圓形，肉質，全緣，長20-25 mm，寬4-6 mm，葉尖銳狀，葉基楔形。花黃色，聚繖花序；萼片等長。果實平展。",全島中高海拔岩石。
1231,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,玉山佛甲草,"多年生草本。葉密集互生，橢圓形，肉質，全緣，長5-8 mm，寬1-2 mm，葉尖銳狀至鈍狀，葉基楔形。花黃色，聚繖花序；萼片不等長。果實直立。 多年生(宿根性)肉質小草本，具含有豐富汁液的肥厚肉質莖、葉。花多數黃色，著生於植株頂端，於7~8月之盛花期。冬季植株會轉紅褐後枯萎，11月全株轉暗紅色後漸枯。待隔年春天再萌出新芽來。但見金黃燦爛，美不勝收。",常見於道路兩側陽光強烈之岩屑地，但於略陰溼之河床地或山壁亦可見之，對環境之適應性尚佳。全島中高海拔裸露岩石。
1232,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,能高佛甲草,"多年生草本。莖具腺點。葉互生，匙形，肉質，全緣，長5-10 mm，寬3-5mm，葉尖銳狀，葉基窄楔形。花黃色，穗狀聚繖花序，萼片不等長。果實平展。 肉質小草本，莖多分枝。葉互生，匙狀。花淡黃色，稀疏生於莖之上半部，花期     為6~8月。性喜陰濕，山溝兩側偶可見之。",全島中高海拔山區。
1233,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,尖萼佛甲草,"葉互生，披針狀至倒披針狀橢圓形，肉質，全緣，長20-25 mm，寬4-6 mm，葉尖狹漸尖，葉基楔形。花黃色，聚繖花序，萼片不等長。果實平展，種子黃色。",全島中高海拔山區。
1234,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,石碇佛甲草,"多年生草本。葉互生，匙形，肉質，全緣，長10-25 mm，寬4-6 mm，葉尖銳狀至鈍形，葉基窄楔形。花黃色，聚繖花序；萼片不等長。果實直立。種子黃色。",北部低海拔山區。
1235,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,火焰草,"一年生至二年生草本。葉互生，倒卵狀菱形，膜狀肉質，全緣，長7-15 mm，寬5-6 mm，葉尖銳狀至鈍狀，葉基楔形。花黃色，聚繖花序；萼片不等長。果實直立。種子棕色。",中部中海拔遮陰岩石縫。
1236,木蘭植物門,木蘭綱,薔薇目,景天科,佛甲草屬,疏花佛甲草,"多年生草本。葉密集互生，柱狀寬匙形，肉質，全緣，長3-5 mm，寬1-2 mm，葉尖鈍狀至銳狀，葉基楔形。花黃色，單一，偶穗狀花序具5-6朵花；萼片不等長。果實直立。種子黃色。",北部海岸沙質地。
1237,木蘭植物門,木蘭綱,薔薇目,景天科,八寶屬,穗花八寶,"多年生草本。具根莖。葉簇集互生，寬卵形至寬倒卵形，紙狀肉質，鋸齒緣，長20-30 mm，寬15-20 mm，葉尖銳形，葉基鈍形至寬楔形。花淺紫綠色，頭狀繖形花序；萼片不等長。果實直立。 多年生肉質小草本，葉面粉淡青色，甚易辨別。花期為6~7月，花淡黃色偶略紅，著生於莖頂。性喜略陰涼之處，常生長於山澗旁之岩石縫隙，合歡山區於武嶺至克難關間可見之。",全島高海拔山區。
1238,木蘭植物門,木蘭綱,薔薇目,景天科,燈籠草屬,倒吊蓮,"草本，高30-100 cm。葉長3-20 cm，單葉至三出葉，卵狀披針形，鈍齒緣。花瓣黃色，先端銳尖。",全省中低海拔陽光充足處。
1239,木蘭植物門,木蘭綱,薔薇目,景天科,燈籠草屬,鵝鑾鼻燈籠草,"小草本，矮於10 cm。葉長1-3 cm，全緣。花瓣黃色，先端鈍或微凹。",高雄市與恆春半島海邊珊瑚礁岩上。
1240,木蘭植物門,木蘭綱,薔薇目,景天科,燈籠草屬,小燈籠草,"草本高40-60 cm。葉長5-10 cm，三裂，裂片披針形，鈍齒緣。花瓣黃色，先端銳尖。",全島中低海拔山區岩區。
1241,木蘭植物門,木蘭綱,薔薇目,景天科,落地生根屬,落地生根,"草本，高30-100 cm。葉長10-15 cm，單葉至3-5出葉，橢圓狀卵形，鈍齒緣。花下垂；花瓣綠白色，先端漸尖。歸化種。",全省海邊及低地岩石地。
1242,木蘭植物門,木蘭綱,薔薇目,海桐科,海桐屬,細葉疏果海桐,"與疏果海桐之差別僅在於葉為狹披針形，寬0.5-2 cm。",僅產於本島中部中海拔地區，數量不多。
1243,木蘭植物門,木蘭綱,薔薇目,海桐科,海桐屬,蘭嶼海桐,"常綠灌木。葉革質，倒卵狀長橢圓至倒披針形，長8-12 cm，寬4-5.5 cm，先端鈍至圓，基部楔形。頂生圓錐花序。果2瓣裂。",產恆春半島及蘭嶼、綠島低海拔次生林中。
1244,木蘭植物門,木蘭綱,薔薇目,海桐科,海桐屬,七里香,"灌木或小喬木；小枝有毛。葉倒卵狀披針形或橢圓狀披針形，長達11 cm，寬達4 cm，兩端均銳尖。花密集於枝頂，呈圓錐狀。果2瓣裂。 常綠小喬木，幼枝有茶褐色毛。葉卵形或長橢圓形，兩端銳，全緣或波狀緣，長6~9cm。圓錐花序頂生，花白色，芳香，徑約5mm。蒴果球形，微凸頭，黃色，種子5或6，紅色。產台灣南部及蘭嶼，亦分布菲律賓及中南半島。",產本島南部及蘭嶼低海拔山區或近海森林中。
1245,木蘭植物門,木蘭綱,薔薇目,海桐科,海桐屬,海桐,"常綠灌木。葉革質，倒卵狀長橢圓形至倒披針形，長4-9 cm，寬2-4 cm，先端鈍至圓，基部楔形。頂生短圓錐花序。果球狀，3瓣裂。",北部海岸叢林很常見。
1246,木蘭植物門,木蘭綱,薔薇目,海桐科,海桐屬,大葉海桐,"地生或附生性灌木。葉革質，長橢圓或長橢圓狀披針形，長10-22 cm，寬達7 cm，先端漸尖至尾狀。頂生圓錐狀花序。萼片5；花瓣5。果2瓣裂。",特產本島中海拔山區。
1247,木蘭植物門,木蘭綱,薔薇目,海桐科,海桐屬,疏果海桐,"常綠灌木；小枝纖細。葉紙質至革質，長橢圓至披針形，長8-12 cm，寬1.5-4 cm，兩端均漸尖。花數朵簇生葉腋。果2-3瓣裂。產於本島中海拔地區。",產於本島中海拔地區。
1248,木蘭植物門,木蘭綱,薔薇目,牛栓藤科,紅葉藤屬,紅葉藤,"屬特徵-木質藤本、灌木或小喬木。羽狀複葉至單葉。花序頂生或腋生，圓錐狀；花5數；雄蕊10，花絲基部癒合；柱頭5，頭狀。蒴果，卵狀至橢圓狀，單邊縱裂，具薄而硬或革質的果皮。 種特徵-大型木質藤本，有時灌木狀。小葉可達9枚，無毛，近圓形、卵形至披針形，大小變化大，長達25 cm，寬達10 cm，先端漸尖至尾狀，基部銳至淺心形。圓錐花序常數個簇生於葉腋或枝頂。種子具褐紅色假種皮。",僅產於蘭嶼及綠島。
1249,木蘭植物門,木蘭綱,薔薇目,薔薇科,五蕊莓屬,五蕊莓,"屬特徵-草本，僅具基生葉。三出複葉；托葉與葉柄合生。花成近繖房花序，兩性；萼片5，與副萼片互生；花瓣5；雄蕊5；心皮5-10。瘦果5-10。 種特徵-小葉楔形至倒卵形，長1-2 cm，寬0.5-0.6 cm，先端平截，具3齒，兩面密被直毛。 多年生匍匐草本，根莖木質化，三出複葉叢生，表面有柔毛。花小數朵頂生，黃     色，於6~7月開花。性喜陽光，合歡山區於克難關及石門山附近或海拔3050 m     以上路旁之岩屑地可見之。",中央山脈高海拔地區。
1250,木蘭植物門,木蘭綱,薔薇目,薔薇科,假皂莢屬,假皂莢,"屬特徵－     灌木，小枝於葉腋有刺。單葉，互生，常叢生。花1-4朵，成總狀花序；萼筒宿存，裂片5；花瓣5，著生萼筒上；雄蕊多數，成數束於花瓣上；花柱著生於子房近基部。核果，歪斜，紫色。  種特徵－ 攀緣灌木；小枝略成之字形伸展。葉厚革質，卵狀披針形，光滑，葉腋處有長刺。 蔓性灌木或小喬木，全株具粗棘刺。葉卵狀披針形鋸齒緣，厚且光滑。花白色多數，腋生較多，2月即可見其開放。性喜陽光，合歡山區於海拔3000m以下道路兩側偶可見之。",中、高海拔森林中。
1251,木蘭植物門,木蘭綱,薔薇目,薔薇科,冠蕊木屬,冠蕊木,"屬特徵-落葉灌木。單葉，互生，不規則銳裂狀鋸齒緣；托葉葉狀。花兩性，成總狀或圓錐花序；萼筒5裂；花瓣5；雄蕊10-20，1輪；心皮1，被長柔毛。蓇葖果。 種特徵-小枝被毛。單葉，卵形或三角狀卵形，先端尾狀銳尖，兩面被毛；托葉披針形。花黃色。",東部中海拔地區。
1252,木蘭植物門,木蘭綱,薔薇目,薔薇科,地榆屬,台灣地榆,"屬特徵-直立草本。羽狀複葉；小葉鋸齒緣；托葉部分與葉柄合生。花緊密排列成穗狀，兩性，4數，花盤近球形而於上端縮小；萼片花瓣狀；花瓣缺；雄蕊4，2強；心皮1-2。瘦果，包被於增大呈四角形之花盤內。 種特徵-基生葉具5-15小葉，莖生葉具3小葉；托葉長約1 cm。花序紅紫色。",北部低海拔地區。
1253,木蘭植物門,木蘭綱,薔薇目,薔薇科,小石積屬,華西小石積,"莖直立，高約4 m；幼枝疏被直毛。葉叢生短枝端；葉軸具翼；小葉19-31枚，近無柄，橢圓形至長橢圓狀倒卵形，長3-5 mm，寬2-3 mm，下表面疏生直毛，先端鈍且略凹。",僅知分佈於南投，丹大林道6公里處。
1254,木蘭植物門,木蘭綱,薔薇目,薔薇科,小石積屬,小石積,"小葉歪斜，卵形或橢圓形，長約4 mm，寬約3 mm，先端圓具突尖頭，基部鈍，無柄，兩面被直硬毛。",僅生長於蘭嶼。
1255,木蘭植物門,木蘭綱,薔薇目,薔薇科,懸鉤子屬,台東紅梅消,"莖被毛；刺多或少。小葉5枚，倒卵至菱形，常3淺裂，不規則齒緣，下表面密被白絨毛；托葉長達1.5 cm。總狀或繖房花序；萼片先端突漸尖；花瓣粉紅色。",東部。
